horas_estudo,frequencia,atividades_entregues,nota_anterior,nota_final
9.6,83.3,89.7,7.33,8.3
5.7,97.7,86.3,3.74,5.09
6.7,62.8,97.5,6.91,5.55
6.7,67.0,65.6,7.82,7.04
3.8,62.8,67.2,7.17,6.06
9.7,72.5,66.4,7.64,7.05
6.4,87.3,89.2,3.97,5.47
8.0,88.3,100.0,7.1,7.72
9.7,85.3,66.7,5.96,7.91
9.6,65.0,67.4,5.63,6.48
10.3,54.3,80.7,8.07,6.94
7.7,82.7,70.6,9.16,7.41
6.5,76.3,92.1,9.73,7.79
7.7,87.5,34.5,8.87,5.72
2.1,90.4,60.1,6.3,6.43
2.9,83.7,60.9,7.13,6.95
3.4,91.1,33.2,7.88,5.46
4.5,84.8,57.7,6.72,5.99
9.4,88.4,58.5,6.74,6.19
4.8,73.5,71.4,7.98,6.21
6.7,79.8,95.0,6.39,7.07
12.5,84.4,70.6,5.19,5.45
6.8,91.8,56.4,5.75,6.77
10.6,77.3,74.0,7.64,7.72
4.7,88.3,93.9,6.51,7.01
7.3,78.8,57.4,7.11,5.06
4.7,80.6,58.6,7.71,6.04
6.8,92.0,85.1,5.83,7.75
10.9,58.1,71.0,7.86,5.07
2.0,66.4,86.7,7.18,6.18
9.5,64.2,74.8,4.28,4.92
8.8,54.0,87.6,9.1,7.7
5.9,73.9,56.4,5.6,5.34
2.9,91.0,74.8,3.52,5.92
8.3,78.6,71.2,4.62,6.36
6.1,84.4,53.1,4.66,6.79
8.8,95.1,46.9,6.59,6.64
8.1,97.9,87.3,6.01,7.62
13.6,81.2,68.7,5.89,6.0
7.2,98.2,56.6,7.62,8.0
4.4,83.1,73.3,7.11,6.32
8.6,72.0,95.3,7.07,6.85
8.8,74.9,33.9,7.24,6.1
12.8,64.2,48.1,7.61,5.57
10.9,71.3,58.4,2.71,5.21
9.2,77.7,100.0,5.84,7.65
13.1,91.6,80.1,2.58,6.41
3.8,100.0,88.8,6.56,6.41
5.8,65.4,54.5,6.49,5.68
4.8,86.7,54.8,8.38,7.43
6.6,69.5,83.1,8.64,6.14
3.2,87.7,76.0,6.86,6.15
10.2,80.4,84.9,5.6,7.36
7.2,60.0,71.6,7.37,6.52
2.9,93.1,80.0,5.55,6.8
4.4,74.7,77.8,6.5,7.52
9.1,75.6,89.0,8.28,7.91
10.9,69.2,89.5,5.5,7.0
15.0,74.1,45.8,7.95,8.67
18.2,87.1,34.5,7.72,7.24
9.5,79.7,93.0,4.78,6.16
4.5,85.9,96.4,8.25,7.99
0.5,86.3,56.6,7.76,6.74
8.9,97.8,41.5,6.68,6.46
5.2,77.9,76.8,5.13,5.43
6.5,64.3,91.8,4.95,7.37
5.9,94.8,100.0,5.53,7.42
7.5,78.0,84.3,7.48,6.77
11.7,95.4,68.3,4.78,7.33
8.5,86.6,58.9,7.29,6.9
7.4,80.4,75.2,4.26,5.82
4.4,86.2,69.6,6.13,6.79
2.1,100.0,56.7,6.7,5.86
6.3,100.0,100.0,10.0,9.18
7.8,82.8,100.0,4.02,7.63
14.2,83.9,95.4,9.15,8.97
8.5,94.9,58.4,6.77,6.79
11.4,71.9,90.4,7.24,7.05
6.3,86.0,86.5,6.71,6.88
3.9,81.7,83.0,7.3,6.8
4.6,85.8,97.5,6.22,6.82
5.5,72.0,86.4,9.12,8.04
15.4,62.9,88.3,5.68,5.76
5.1,57.1,86.5,8.54,7.33
10.9,68.6,81.1,5.34,6.14
4.8,76.5,42.9,6.39,5.98
11.3,78.5,76.5,4.57,5.65
9.3,100.0,65.0,7.32,8.36
7.5,95.3,52.0,9.1,8.39
7.9,70.5,100.0,6.36,7.5
5.7,86.2,100.0,6.15,6.26
9.6,77.1,99.5,4.49,7.09
6.4,78.6,79.6,6.09,6.8
3.7,84.2,99.3,3.63,5.1
3.5,89.4,75.2,4.86,6.14
8.6,77.9,78.7,6.91,7.19
13.5,94.8,55.3,8.87,8.4
8.6,68.3,82.1,10.0,7.94
7.6,82.1,76.1,5.44,6.63
9.0,100.0,51.6,9.08,8.77
12.6,84.7,74.1,6.94,8.13
8.8,99.2,73.6,6.23,5.56
6.6,83.1,100.0,7.28,7.34
11.9,89.0,91.1,6.61,7.6
9.5,81.3,75.2,6.7,5.95
13.4,80.0,79.5,5.77,7.07
8.6,72.6,75.8,3.98,6.49
3.7,87.2,71.3,3.72,4.97
3.2,71.8,55.5,7.68,6.39
13.8,90.0,72.3,6.0,6.73
14.0,95.0,61.6,5.43,6.63
7.4,86.4,52.5,6.52,7.36
6.7,78.6,84.2,7.93,6.99
13.1,87.4,82.0,6.82,7.91
4.1,78.3,42.8,5.32,4.25
4.9,93.2,72.8,8.71,8.78
10.3,60.0,92.9,9.34,8.06
6.6,78.0,94.1,7.39,7.19
8.0,58.1,93.5,8.25,7.45
7.4,64.1,75.7,8.74,6.2
9.2,98.4,59.8,8.53,8.53
12.9,92.7,55.5,7.61,7.33
8.3,73.4,81.2,7.58,6.98
10.3,64.0,81.8,7.44,6.63
0.8,46.4,98.2,4.52,4.65
7.8,75.5,94.8,7.76,7.88
5.0,100.0,72.6,4.06,6.41
3.7,87.2,52.6,5.07,6.11
4.9,75.3,69.3,8.85,7.1
6.8,87.6,78.9,8.01,7.83
11.2,63.3,71.4,9.18,7.13
3.4,78.4,64.6,6.01,7.34
8.1,83.2,79.6,4.43,5.3
6.3,81.0,65.9,6.07,7.1
6.9,91.5,63.7,6.68,7.69
11.5,86.1,80.6,6.64,6.87
9.9,90.0,67.8,8.54,9.12
12.7,73.7,79.4,5.85,7.4
7.5,92.8,79.9,7.13,8.02
5.6,100.0,54.5,4.72,6.18
7.2,70.4,66.3,7.31,6.41
8.8,71.3,100.0,6.51,6.96
8.6,98.0,54.1,5.15,6.71
4.2,79.7,36.9,6.08,6.41
8.3,98.8,41.5,6.17,6.69
8.8,76.7,75.5,6.01,6.03
16.8,99.5,75.6,9.69,9.64
14.6,83.6,72.9,6.32,7.82
5.0,85.1,96.9,6.06,7.38
7.0,100.0,26.9,2.72,5.46
2.9,77.7,82.1,4.89,5.74
5.9,70.7,100.0,6.03,6.12
9.1,76.6,54.7,5.27,5.4
12.2,87.4,68.2,8.99,7.07
5.4,63.2,61.4,6.2,5.85
5.7,89.6,58.9,8.82,7.33
0.5,75.5,69.1,6.61,5.73
7.4,95.8,100.0,6.57,5.96
4.3,53.3,100.0,6.34,5.39
6.1,72.6,69.0,6.51,6.97
4.9,61.8,100.0,9.59,7.18
7.7,72.1,75.6,2.32,5.28
1.8,85.0,100.0,2.9,4.87
2.9,79.8,73.3,5.52,6.87
15.5,79.0,77.4,6.53,7.27
3.5,80.1,81.6,7.74,7.18
4.2,84.4,100.0,7.35,8.81
14.4,69.9,90.3,5.81,7.93
18.2,90.5,62.3,8.33,8.06
3.9,90.0,92.4,8.35,7.41
6.7,86.6,68.5,6.83,6.67
9.2,88.7,66.2,8.23,7.86
14.1,85.6,91.4,6.99,7.83
4.5,100.0,75.6,5.49,6.54
7.1,81.0,80.0,7.76,8.16
10.7,78.3,75.3,6.7,6.93
9.5,73.0,81.1,6.5,8.18
6.7,69.6,82.6,9.15,7.5
7.5,67.1,40.1,2.09,5.18
3.2,71.3,87.0,3.95,5.72
7.2,81.2,57.3,4.36,6.22
7.1,86.0,49.0,5.85,5.7
8.8,82.6,73.9,6.04,6.22
6.1,72.8,76.5,3.79,5.77
9.7,92.8,62.5,4.73,7.01
11.5,90.9,90.0,4.95,7.15
8.5,80.1,50.8,10.0,6.79
9.2,74.2,67.7,9.74,6.86
8.2,88.6,64.5,5.76,5.72
8.0,84.3,74.2,5.85,5.6
5.5,64.6,80.0,4.43,5.57
9.1,81.2,56.9,3.07,6.0
7.7,85.1,88.0,6.29,7.08
15.3,71.2,76.1,4.7,5.1
13.5,84.3,40.9,6.35,6.47
9.4,64.5,39.7,3.62,4.6
5.3,98.0,74.8,5.13,7.89
4.1,97.0,71.0,6.77,6.13
12.2,79.0,73.1,7.16,7.02
8.9,86.4,74.5,7.25,8.31
9.7,53.1,79.1,4.12,5.61
1.9,68.1,92.1,8.04,7.18
11.2,78.5,55.0,5.06,6.14
9.6,69.1,53.9,7.64,6.74
4.1,90.6,55.3,6.48,6.87
6.3,100.0,80.2,4.02,6.0
8.9,67.9,97.4,5.93,7.26
8.2,72.0,67.2,7.16,5.8
7.0,84.8,30.0,7.6,6.53
7.6,100.0,44.3,6.25,6.75
7.1,67.3,60.0,9.26,6.62
8.5,85.0,65.0,8.31,7.39
13.2,100.0,67.6,6.04,7.08
0.0,62.2,75.7,7.85,5.48
7.2,66.6,69.4,9.98,7.21
8.6,76.9,93.9,10.0,7.67
9.0,75.8,62.8,4.29,5.9
6.7,91.8,59.5,4.83,5.45
1.9,84.9,83.6,9.17,8.0
9.1,60.7,47.4,4.6,4.35
